epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0851,1.83161,2.50613,1.09445,0.73329,0.31579,0.32553,0.16053,1.68498,1.8793,1.02386,0.000367394,0.000367394,0.000367394
2,64.0422,1.65738,1.4343,1.03875,0.79441,0.33849,0.39417,0.20508,1.65561,1.39111,1.01368,0.000723121,0.000723121,0.000723121
3,93.6061,1.64262,1.35696,1.03492,0.80904,0.38183,0.44713,0.23456,1.56065,1.17605,0.98872,0.00106418,0.00106418,0.00106418
4,122.959,1.62006,1.22882,1.02714,0.8242,0.38282,0.41504,0.215,1.55943,1.17857,0.99892,0.00104501,0.00104501,0.00104501
5,153.45,1.55547,1.1622,1.01207,0.7353,0.42359,0.48162,0.25857,1.48795,1.12374,0.97885,0.00102301,0.00102301,0.00102301
6,183.126,1.53266,1.1161,0.99808,0.76799,0.40836,0.48045,0.2631,1.46439,1.05709,0.97459,0.00100101,0.00100101,0.00100101
7,212.657,1.511,1.05981,0.99511,0.80844,0.45397,0.53007,0.27274,1.44954,0.98527,0.96069,0.000979013,0.000979013,0.000979013
8,242.321,1.49455,1.03423,0.98721,0.81134,0.47088,0.51319,0.26467,1.44323,0.96759,0.96649,0.000957015,0.000957015,0.000957015
9,273.253,1.4865,0.98264,0.98211,0.55697,0.46408,0.53508,0.28854,1.41844,0.92747,0.96385,0.000935018,0.000935018,0.000935018
10,303.007,1.43586,0.94169,0.97169,0.85752,0.47399,0.53985,0.2918,1.40313,0.92323,0.95768,0.00091302,0.00091302,0.00091302
11,332.477,1.43535,0.93353,0.96888,0.75241,0.47474,0.54364,0.29826,1.38213,0.86144,0.94664,0.000891022,0.000891022,0.000891022
12,362.883,1.42598,0.90643,0.96874,0.76428,0.47175,0.55915,0.31264,1.40552,0.86914,0.95037,0.000869024,0.000869024,0.000869024
13,392.648,1.42244,0.89926,0.96917,0.73362,0.46197,0.52799,0.28925,1.3811,0.93632,0.9481,0.000847026,0.000847026,0.000847026
14,422.244,1.39541,0.88217,0.9588,0.69489,0.52721,0.60015,0.34326,1.37979,0.85491,0.94686,0.000825029,0.000825029,0.000825029
15,451.716,1.39388,0.86427,0.9601,0.63317,0.58006,0.61722,0.37806,1.34029,0.82599,0.93538,0.000803031,0.000803031,0.000803031
16,482.347,1.37189,0.86106,0.96034,0.74027,0.59312,0.64085,0.37009,1.33139,0.79325,0.93102,0.000781033,0.000781033,0.000781033
17,512.017,1.37013,0.83869,0.9565,0.84311,0.52588,0.58184,0.32348,1.34649,0.81487,0.93524,0.000759035,0.000759035,0.000759035
18,541.485,1.36213,0.83314,0.94309,0.61195,0.55947,0.57939,0.34481,1.3262,0.89647,0.92983,0.000737037,0.000737037,0.000737037
19,572.1,1.35607,0.82029,0.95379,0.68661,0.62074,0.63604,0.38056,1.29927,0.76913,0.92699,0.00071504,0.00071504,0.00071504
20,601.432,1.35752,0.8098,0.95148,0.80959,0.56214,0.64225,0.36947,1.29281,0.78234,0.92643,0.000693042,0.000693042,0.000693042
21,630.886,1.31692,0.78782,0.9434,0.7839,0.54969,0.64032,0.3769,1.2805,0.80166,0.91767,0.000671044,0.000671044,0.000671044
22,660.202,1.32756,0.79086,0.93643,0.78128,0.62943,0.68762,0.40321,1.31992,0.74686,0.92507,0.000649046,0.000649046,0.000649046
23,691.098,1.32245,0.78851,0.94066,0.7564,0.58288,0.69046,0.40951,1.30783,0.79247,0.92864,0.000627048,0.000627048,0.000627048
24,720.87,1.31526,0.77148,0.94021,0.65256,0.61714,0.61721,0.37714,1.29549,0.74865,0.92095,0.000605051,0.000605051,0.000605051
25,750.774,1.30076,0.75944,0.93245,0.84332,0.6296,0.68463,0.39909,1.30004,0.72224,0.91905,0.000583053,0.000583053,0.000583053
26,781.764,1.30189,0.75915,0.93669,0.68127,0.63355,0.65133,0.39611,1.27817,0.74418,0.9195,0.000561055,0.000561055,0.000561055
27,811.533,1.29871,0.7519,0.93589,0.68119,0.69785,0.70343,0.42333,1.27798,0.72468,0.9187,0.000539057,0.000539057,0.000539057
28,841.386,1.29112,0.74491,0.92843,0.8114,0.62516,0.72003,0.4256,1.2722,0.71008,0.91395,0.000517059,0.000517059,0.000517059
29,872.425,1.28112,0.72832,0.92838,0.68106,0.70084,0.70056,0.42275,1.2759,0.70816,0.91566,0.000495062,0.000495062,0.000495062
30,902.432,1.28585,0.73164,0.92908,0.77148,0.71629,0.74617,0.4516,1.25378,0.68336,0.90944,0.000473064,0.000473064,0.000473064
31,932.535,1.25961,0.71851,0.92641,0.7724,0.59922,0.71341,0.43896,1.24296,0.69068,0.91125,0.000451066,0.000451066,0.000451066
32,963.373,1.25795,0.7159,0.92759,0.73215,0.69573,0.72577,0.43242,1.25781,0.69491,0.91249,0.000429068,0.000429068,0.000429068
33,993.689,1.26115,0.70557,0.9233,0.77495,0.65492,0.73597,0.45851,1.24895,0.68142,0.90833,0.00040707,0.00040707,0.00040707
34,1023.48,1.26213,0.71564,0.91957,0.74278,0.64761,0.7181,0.44599,1.24549,0.68868,0.90782,0.000385073,0.000385073,0.000385073
35,1053.57,1.24691,0.69558,0.92355,0.76955,0.6995,0.73192,0.46256,1.23848,0.66992,0.90378,0.000363075,0.000363075,0.000363075
36,1084.28,1.22692,0.68137,0.91785,0.77288,0.68387,0.74703,0.4586,1.24132,0.66583,0.90604,0.000341077,0.000341077,0.000341077
37,1114.38,1.22263,0.67962,0.91072,0.85539,0.68926,0.75045,0.45528,1.22687,0.66913,0.90378,0.000319079,0.000319079,0.000319079
38,1144.37,1.21526,0.66392,0.91651,0.70078,0.69692,0.72663,0.45858,1.2317,0.65605,0.90301,0.000297081,0.000297081,0.000297081
39,1175.91,1.232,0.68386,0.91597,0.79334,0.62312,0.72037,0.46362,1.23239,0.64942,0.90589,0.000275084,0.000275084,0.000275084
40,1206.29,1.20932,0.66655,0.91021,0.75893,0.65788,0.72133,0.4632,1.21219,0.64397,0.90138,0.000253086,0.000253086,0.000253086
41,1236.96,1.20708,0.65515,0.91588,0.82678,0.65874,0.70907,0.44016,1.22723,0.66535,0.90542,0.000231088,0.000231088,0.000231088
42,1266.7,1.1959,0.63709,0.91148,0.86405,0.71688,0.77906,0.48503,1.21243,0.64431,0.90111,0.00020909,0.00020909,0.00020909
43,1295.77,1.17702,0.62983,0.90469,0.72925,0.64191,0.72362,0.47783,1.21627,0.64595,0.90205,0.000187092,0.000187092,0.000187092
44,1324.08,1.18069,0.61832,0.90646,0.82194,0.71613,0.7595,0.49105,1.19988,0.63473,0.90075,0.000165095,0.000165095,0.000165095
45,1353.5,1.15533,0.60831,0.90148,0.83218,0.73655,0.77678,0.49389,1.20527,0.63226,0.90046,0.000143097,0.000143097,0.000143097
46,1382.73,1.15272,0.60452,0.89694,0.85681,0.77127,0.79643,0.5114,1.19304,0.62359,0.89709,0.000121099,0.000121099,0.000121099
47,1412.98,1.15034,0.59997,0.89628,0.81782,0.72085,0.77764,0.50614,1.19492,0.61949,0.89589,9.91012e-05,9.91012e-05,9.91012e-05
48,1441.63,1.13654,0.58955,0.89703,0.84284,0.70285,0.77449,0.50926,1.18716,0.61546,0.89582,7.71034e-05,7.71034e-05,7.71034e-05
49,1470.29,1.13219,0.58844,0.89343,0.85147,0.70168,0.77186,0.50867,1.18799,0.61582,0.89451,5.51056e-05,5.51056e-05,5.51056e-05
50,1499.63,1.14709,0.59064,0.89379,0.84509,0.70591,0.77068,0.5036,1.19067,0.61456,0.89451,3.31078e-05,3.31078e-05,3.31078e-05
